,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,40,40,40,40,40,40,40,40,40,40,40
Reserves,5583,6500,8794,10276,11932,13080,14366,15376,15807,16616,17634
Borrowings,284,100,232,261,228,312,453,584,605,568,651
Other Liabilities,4215,4014,3829,4736,5197,5072,4815,7096,6027,6694,7986
Total Liabilities,10122,10654,12896,15312,17397,18504,19674,23096,22478,23917,26311
Fixed Assets,2247,2952,3784,4599,4961,4952,6473,6380,6194,6159,6414
CWIP,855,719,653,581,355,573,391,495,517,454,175
Investments,4106,3118,4501,6066,7669,6114,8359,10582,10528,10891,11218
Other Assets,2914,3864,3958,4066,4411,6865,4451,5639,5240,6413,8505
Total Assets,10122,10654,12896,15312,17397,18504,19674,23096,22478,23917,26311
