,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25275.0,27538.0,28457.0,28610.0,32458.0,33971.0,29254.0,30959.0,29551.0,34158.0,34937
Expenses,21722.0,24018.0,24033.0,24025.0,27124.0,28946.0,25184.0,26902.0,26295.0,30060.0,30429
Operating Profit,3553.0,3520.0,4424.0,4585.0,5334.0,5025.0,4070.0,4058.0,3256.0,4099.0,4508
OPM %,14.0,13.0,16.0,16.0,16.0,15.0,14.0,13.0,11.0,12.0,13
Other Income,430.0,325.0,421.0,830.0,564.0,741.0,1434.0,553.0,545.0,567.0,781
Interest,12.0,12.0,15.0,27.0,31.0,37.0,47.0,46.0,53.0,105.0,89
Depreciation,1107.0,540.0,443.0,502.0,575.0,624.0,846.0,715.0,690.0,697.0,719
Profit before tax,2864.0,3292.0,4387.0,4885.0,5292.0,5104.0,4611.0,3849.0,3058.0,3864.0,4481
Tax %,26.0,29.0,29.0,27.0,30.0,32.0,21.0,24.0,24.0,28.0,
Net Profit,2102.0,2364.0,3112.0,3546.0,3722.0,3466.0,3659.0,2936.0,2329.0,2800.0,3240
EPS in Rs,105.3,118.42,157.34,179.49,186.29,172.44,182.14,146.05,115.95,140.61,162.50
