,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,191,191,206,207,207,223,223,222,222,222,222,222,222
Reserves,31179,34597,40398,38122,40402,45836,54629,57279,58095,66311,77969,94584,99273
Borrowings,41016,56951,64756,68468,67552,63817,52074,52415,68399,67206,64486,60291,58372
Other Liabilities,29016,28850,32621,34950,32986,36268,40088,42056,41902,55073,79178,68392,66874
Total Liabilities,101402,120590,137982,141746,141146,146144,147014,151972,168618,188812,221855,223489,224741
Fixed Assets,35300,37929,61163,71959,85648,84687,85088,85860,89195,100269,106874,110626,110753
CWIP,22798,33834,23059,14111,4214,1814,2063,4097,7721,10202,4945,7700,10924
Investments,10551,12601,12961,12346,12463,15157,10781,9012,9411,17133,14119,14116,12608
Other Assets,32753,36226,40798,43330,38821,44486,49081,53003,62291,61208,95917,91047,90456
Total Assets,101402,120590,137982,141746,141146,146144,147014,151972,168618,188812,221855,223489,224741
