,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,80821.0,80193.0,87695.0,104281.0,98759.0,100184.0,115183.0,130542.0,118144.0,131985.0,195059.0,223202.0,216168
Expenses,72856.0,72494.0,79671.0,95437.0,90981.0,87867.0,101488.0,115031.0,103838.0,114449.0,166712.0,200536.0,195967
Operating Profit,7965.0,7699.0,8024.0,8844.0,7778.0,12317.0,13695.0,15511.0,14306.0,17536.0,28347.0,22666.0,20201
OPM %,10.0,10.0,9.0,8.0,8.0,12.0,12.0,12.0,12.0,13.0,15.0,10.0,9
Other Income,783.0,1111.0,677.0,-832.0,1500.0,1198.0,2879.0,1127.0,906.0,-964.0,1253.0,1307.0,1599
Interest,1758.0,2079.0,2702.0,4178.0,5134.0,5742.0,3911.0,3778.0,4197.0,3738.0,3768.0,3646.0,3946
Depreciation,2645.0,2822.0,3347.0,3493.0,4347.0,4457.0,4506.0,4777.0,5091.0,6628.0,6729.0,7086.0,7253
Profit before tax,4345.0,3909.0,2653.0,340.0,-203.0,3315.0,8157.0,8083.0,5924.0,6206.0,19103.0,13241.0,10601
Tax %,18.0,23.0,20.0,75.0,-245.0,43.0,25.0,32.0,36.0,44.0,28.0,24.0,
Net Profit,3608.0,3007.0,2195.0,259.0,-702.0,1882.0,6083.0,5495.0,3767.0,3483.0,13730.0,10097.0,8423
EPS in Rs,17.74,15.81,10.53,4.14,-1.21,8.47,27.1,24.48,16.77,15.5,61.1,44.93,37.48
