,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,216,216,216,216,216,216,216,216,216,235,235,235,235
Reserves,3465,2649,3321,3811,6357,6528,7065,7651,8013,47439,48826,50069,50129
Borrowings,0,25,46,43,177,277,0,99,0,1009,1043,1219,1272
Other Liabilities,7726,9202,10171,10359,8043,8685,10581,10663,11924,20057,20402,21554,26207
Total Liabilities,11407,12092,13754,14430,14793,15706,17862,18629,20153,68740,70506,73077,77843
Fixed Assets,2263,2431,2746,2821,3258,4419,4528,4715,5479,51443,51473,52678,53106
CWIP,228,222,373,516,408,229,461,406,597,745,1313,1132,1047
Investments,2322,2252,2838,3025,2592,3794,2873,2716,1255,2709,3521,2882,4609
Other Assets,6595,7186,7797,8067,8535,7264,10000,10792,12822,13843,14199,16385,19081
Total Assets,11407,12092,13754,14430,14793,15706,17862,18629,20153,68740,70506,73077,77843
