,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,845,845,845,845,845,845,845,845,845,845,845,845,845
Reserves,26036,31431,36573,42508,36540,29960,35087,32760,39465,31468,33437,12097,12833
Borrowings,0,0,0,0,0,7908,0,2538,611,7201,2844,11881,11541
Other Liabilities,2603,3190,4259,5639,15810,13082,7000,6315,6054,6213,7545,10631,10117
Total Liabilities,29485,35465,41677,48992,53195,51795,42932,42458,46975,45727,44671,35454,35336
Fixed Assets,8513,8484,9147,9446,10385,9993,11302,14778,16469,16808,17396,17620,18547
CWIP,445,1082,1541,2005,2428,3071,3220,2254,2489,1922,2075,2107,1250
Investments,12695,14540,22506,27254,35221,23783,20222,19488,20329,12957,15052,10107,11074
Other Assets,7832,11360,8482,10288,5161,14948,8188,5938,7688,14040,10148,5620,4465
Total Assets,29485,35465,41677,48992,53195,51795,42932,42458,46975,45727,44671,35454,35336
