,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11405.0,12700.0,13636.0,14788.0,14181.0,17273.0,22082.0,21118.0,18561.0,22629.0,29440.0,34098.0,30449
Expenses,5336.0,6172.0,6717.0,7338.0,7923.0,7534.0,9812.0,10448.0,9691.0,10957.0,13214.0,16577.0,15996
Operating Profit,6069.0,6528.0,6919.0,7450.0,6258.0,9739.0,12270.0,10670.0,8870.0,11672.0,16226.0,17521.0,14453
OPM %,53.0,51.0,51.0,50.0,44.0,56.0,56.0,51.0,48.0,52.0,55.0,51.0,47
Other Income,1500.0,1966.0,1881.0,2788.0,3127.0,2474.0,1956.0,1782.0,1911.0,1819.0,1082.0,1373.0,1223
Interest,14.0,27.0,45.0,24.0,17.0,202.0,246.0,113.0,112.0,386.0,290.0,333.0,688
Depreciation,611.0,647.0,785.0,644.0,745.0,1811.0,1483.0,1883.0,2279.0,2531.0,2917.0,3264.0,3361
Profit before tax,6945.0,7820.0,7970.0,9570.0,8623.0,10200.0,12497.0,10456.0,8390.0,10574.0,14101.0,15297.0,11627
Tax %,20.0,12.0,13.0,15.0,5.0,18.0,26.0,24.0,19.0,25.0,32.0,31.0,
Net Profit,5526.0,6899.0,6905.0,8178.0,8175.0,8316.0,9276.0,7956.0,6805.0,7980.0,9630.0,10520.0,8453
EPS in Rs,13.08,16.33,16.34,19.35,19.35,19.68,21.95,18.83,16.11,18.89,22.79,24.9,20.00
