,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1153,1154,1155,1160,1163,1165,1286,1289,1295,1383,1390,1397,1401.0
Reserves,60124,67609,75275,83545,92948,103467,109344,112964,121665,156204,180663,213101,
Borrowings,443247,487659,543055,597207,671455,700874,815198,891641,1014636,1103840,1252968,1399894,
Other Liabilities,114763,118401,128278,144167,153190,180219,198453,232899,239696,312385,317616,344099,
Total Liabilities,619287,674822,747762,826079,918756,985725,1124281,1238794,1377292,1573812,1752637,1958490,
Fixed Assets,5432,5473,5507,5871,8713,9338,9465,9660,10409,10917,10707,11070,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,
Investments,239864,255667,267609,274311,286044,304373,372208,398201,443473,536579,567098,639552,
Other Assets,373991,413682,474646,545897,623999,672013,742608,830933,923411,1026317,1174833,1307868,
Total Assets,619287,674822,747762,826079,918756,985725,1124281,1238794,1377292,1573812,1752637,1958490,
