,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,37995.0,44885.0,49479.0,54964.0,59294.0,60940.0,62162.0,71982.0,84836.0,89163.0,95407.0,121067.0,142102
Interest,25013.0,28285.0,29711.0,32318.0,33996.0,34836.0,34262.0,39178.0,44666.0,42659.0,41167.0,50543.0,61733
Expenses,30293.0,31684.0,32852.0,38766.0,52252.0,63841.0,72806.0,83775.0,85361.0,91309.0,80798.0,87864.0,94867
Financing Profit,-17311.0,-15085.0,-13084.0,-16120.0,-26955.0,-37737.0,-44906.0,-50971.0,-45190.0,-44805.0,-26558.0,-17341.0,-14498
Financing Margin %,-46.0,-34.0,-26.0,-29.0,-45.0,-62.0,-72.0,-71.0,-53.0,-50.0,-28.0,-14.0,-10
Other Income,28663.0,29320.0,30085.0,35252.0,42102.0,52458.0,56807.0,59325.0,64950.0,72030.0,62129.0,65112.0,70124
Depreciation,671.0,625.0,719.0,798.0,843.0,912.0,922.0,946.0,1171.0,1340.0,1330.0,1515.0,0
Profit before tax,10680.0,13610.0,16282.0,18334.0,14304.0,13809.0,10978.0,7408.0,18589.0,25884.0,34241.0,46256.0,55626
Tax %,26.0,26.0,28.0,29.0,24.0,18.0,17.0,23.0,40.0,22.0,25.0,26.0,
Net Profit,7938.0,10130.0,11677.0,12942.0,10927.0,11340.0,9100.0,5689.0,11225.0,20364.0,26538.0,35461.0,41767
EPS in Rs,12.06,15.14,17.38,19.2,15.92,15.9,12.0,6.6,14.78,26.58,36.14,48.74,57.47
