,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1429,1429,1429,1432,1432,1435,1436,1436,1436,1436,1437,1439,1440
Reserves,1553,2532,2954,3833,3891,4971,5138,5435,5777,7673,7721,8651,9273
Borrowings,0,0,0,0,1029,0,0,0,0,1200,1200,1200,1200
Other Liabilities,68642,71260,77090,95951,98413,118335,135245,156215,148818,206911,234079,244562,264383
Total Liabilities,71623,75220,81474,101215,104765,124741,141819,163086,156031,217220,244437,255851,276295
Fixed Assets,176,165,197,209,212,207,404,463,932,911,916,968,670
CWIP,4,7,5,6,7,7,18,13,20,22,54,117,0
Investments,70398,73716,80101,99491,103024,121581,138537,159003,150776,211727,237618,247726,267949
Other Assets,1045,1332,1171,1509,1522,2946,2859,3607,4303,4560,5848,7039,7676
Total Assets,71623,75220,81474,101215,104765,124741,141819,163086,156031,217220,244437,255851,276295
