,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14021.0,20025.0,21888.0,34453.0,20849.0,37816.0,38832.0,41463.0,21025.0,83182.0,62305.0,49404.0,69182
Expenses,13118.0,19280.0,20384.0,32798.0,19008.0,36010.0,37062.0,40922.0,21325.0,83516.0,63563.0,50204.0,70247
Operating Profit,904.0,745.0,1504.0,1655.0,1842.0,1806.0,1771.0,541.0,-300.0,-334.0,-1258.0,-800.0,-1065
OPM %,6.0,4.0,7.0,5.0,9.0,5.0,5.0,1.0,-1.0,-0.0,-2.0,-2.0,-2
Other Income,627.0,900.0,129.0,43.0,0.0,130.0,132.0,813.0,1578.0,1669.0,2285.0,1968.0,2198
Interest,16.0,14.0,15.0,17.0,0.0,15.0,20.0,23.0,19.0,56.0,0.0,0.0,0
Depreciation,56.0,41.0,47.0,40.0,0.0,58.0,44.0,57.0,61.0,60.0,67.0,84.0,0
Profit before tax,1459.0,1591.0,1572.0,1642.0,1842.0,1863.0,1839.0,1274.0,1198.0,1219.0,961.0,1085.0,1133
Tax %,5.0,5.0,1.0,0.0,10.0,10.0,12.0,11.0,11.0,22.0,21.0,25.0,
Net Profit,1386.0,1515.0,1561.0,1640.0,1650.0,1682.0,1619.0,1139.0,1067.0,956.0,759.0,813.0,907
EPS in Rs,9.7,10.61,10.92,11.46,11.52,11.72,11.28,7.93,7.43,6.66,5.28,5.65,6.30
