,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,782,790,795,802,805,1215,1220,1226,1229,1231,1232,1243,1247
Reserves,18677,22368,26442,30934,41875,45198,51290,57915,64044,59116,61223,67912,67852
Borrowings,118,102,242,269,84,46,36,13,277,271,249,306,284
Other Liabilities,10509,12069,13369,13948,8888,9440,11695,12585,11760,13143,14491,16370,17754
Total Liabilities,30085,35329,40848,45952,51651,55898,64241,71739,77311,73761,77196,85831,87137
Fixed Assets,10007,12140,12921,15303,15107,15893,16524,19374,21713,23298,24232,25851,26303
CWIP,2396,2062,3117,2700,2560,3730,5508,4136,3256,4011,3226,3003,3190
Investments,5207,5981,7284,6943,11748,17581,22053,25043,28663,24871,24841,29415,26637
Other Assets,12475,15146,17526,21006,22237,18694,20156,23185,23678,21580,24898,27561,31007
Total Assets,30085,35329,40848,45952,51651,55898,64241,71739,77311,73761,77196,85831,87137
