,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26516.0,31618.0,35306.0,38817.0,39192.0,42768.0,43449.0,48340.0,49388.0,49257.0,60645.0,70919.0,70278
Expenses,17272.0,20398.0,22227.0,24566.0,24661.0,27298.0,26928.0,29802.0,30044.0,32193.0,40021.0,45215.0,43825
Operating Profit,9244.0,11221.0,13080.0,14252.0,14531.0,15470.0,16521.0,18537.0,19344.0,17065.0,20623.0,25704.0,26453
OPM %,35.0,35.0,37.0,37.0,37.0,36.0,38.0,38.0,39.0,35.0,34.0,36.0,38
Other Income,772.0,852.0,966.0,1229.0,1483.0,1759.0,2240.0,2080.0,2417.0,2577.0,1910.0,2098.0,2665
Interest,102.0,108.0,29.0,91.0,78.0,49.0,115.0,71.0,81.0,58.0,60.0,78.0,41
Depreciation,745.0,859.0,965.0,1028.0,1077.0,1153.0,1236.0,1397.0,1645.0,1646.0,1732.0,1809.0,1804
Profit before tax,9168.0,11106.0,13052.0,14362.0,14859.0,16026.0,17409.0,19150.0,20035.0,17938.0,20740.0,25915.0,27273
Tax %,31.0,31.0,31.0,32.0,36.0,35.0,34.0,33.0,22.0,25.0,25.0,25.0,
Net Profit,6334.0,7704.0,9001.0,9779.0,9501.0,10477.0,11493.0,12836.0,15593.0,13383.0,15503.0,19477.0,20477
EPS in Rs,5.34,6.42,7.45,8.04,7.74,8.47,9.24,10.27,12.45,10.69,12.37,15.44,16.22
