,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2428,2428,2428,2428,2370,4739,9479,9181,9181,9181,9181,13772,14121
Reserves,57945,60609,65485,66404,87610,97357,104395,103288,86217,102657,124354,125949,153045
Borrowings,80015,89671,94916,64893,58552,63271,65650,96765,129790,116649,132020,148977,115418
Other Liabilities,79438,89170,103124,100158,83184,108352,116336,126128,104773,126658,145327,153342,175389
Total Liabilities,219827,241878,265953,233883,231715,273719,295860,335363,329962,355145,410882,442039,457623
Fixed Assets,64586,66707,69724,72844,95761,112031,119937,127223,141594,151287,154420,173665,191287
CWIP,15450,27240,38061,40378,26219,16778,19130,28281,32845,36291,47469,51133,51642
Investments,17588,17351,15895,16069,31185,43687,44806,44112,35571,44717,52352,52190,56664
Other Assets,122203,130580,142273,104592,78551,101222,111987,135746,119952,122851,156641,165050,158030
Total Assets,219827,241878,265953,233883,231715,273719,295860,335363,329962,355145,410882,442039,457623
