,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,408923.0,461780.0,488345.0,449507.0,346045.0,355379.0,421492.0,528158.0,483763.0,363950.0,589321.0,841756.0,787384
Expenses,389402.0,447919.0,471123.0,438932.0,324007.0,321230.0,379834.0,492896.0,467710.0,324021.0,541563.0,811010.0,718336
Operating Profit,19521.0,13861.0,17222.0,10575.0,22038.0,34149.0,41658.0,35262.0,16053.0,39929.0,47758.0,30745.0,69048
OPM %,5.0,3.0,4.0,2.0,6.0,10.0,10.0,7.0,3.0,11.0,8.0,4.0,9
Other Income,-4268.0,3499.0,5064.0,5860.0,5219.0,4356.0,4331.0,4097.0,-7165.0,4696.0,4332.0,5061.0,4819
Interest,5948.0,7164.0,5948.0,4201.0,3487.0,3743.0,3875.0,4925.0,5792.0,2933.0,5454.0,7588.0,7958
Depreciation,5309.0,5692.0,6360.0,5219.0,5698.0,6806.0,7664.0,8506.0,10273.0,10941.0,12348.0,13181.0,13826
Profit before tax,3995.0,4504.0,9978.0,7014.0,18072.0,27956.0,34450.0,25927.0,-7177.0,30751.0,34289.0,15038.0,52084
Tax %,-7.0,19.0,30.0,31.0,31.0,27.0,34.0,33.0,74.0,29.0,25.0,22.0,
Net Profit,4265.0,3627.0,6967.0,4872.0,12413.0,20385.0,22626.0,17274.0,-1876.0,21762.0,25727.0,11704.0,40180
EPS in Rs,2.9,3.05,4.86,3.37,8.25,13.63,15.23,12.31,-0.63,15.32,17.78,6.93,27.35
