,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2102,2352,3352,3584,4526,6526,6526,9380,11880,13069,13069,13069,13069
Reserves,3299,4042,4210,5098,6999,5483,7402,15648,18419,22845,27928,32402,34615
Borrowings,50251,58753,69917,71270,87503,106395,134006,173933,234377,323145,388440,418935,406443
Other Liabilities,4424,5608,6451,7696,9372,11245,13534,7642,10828,21423,20544,26742,42888
Total Liabilities,60076,70755,83930,87647,108400,129650,161468,206604,275504,380482,449980,491147,497014
Fixed Assets,13,13,13,12,12,12,11,11,11,45,38,19,26
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,15,13,11,9,8,8,14,13,12,12,10,14,35
Other Assets,60048,70729,83906,87626,108381,129630,161443,206579,275482,380424,449932,491114,496953
Total Assets,60076,70755,83930,87647,108400,129650,161468,206604,275504,380482,449980,491147,497014
