,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4642.0,5550.0,6197.0,6939.0,7507.0,9047.0,9267.0,11134.0,13421.0,15771.0,20299.0,23892.0,25900
Expenses,9.0,22.0,19.0,34.0,38.0,26.0,38.0,48.0,66.0,113.0,123.0,134.0,141
Operating Profit,4633.0,5528.0,6178.0,6905.0,7468.0,9021.0,9229.0,11085.0,13355.0,15657.0,20177.0,23758.0,25760
OPM %,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99
Other Income,1.0,2.0,1.0,1.0,1.0,0.0,1.0,-0.0,0.0,0.0,2.0,41.0,43
Interest,3620.0,4075.0,4607.0,4992.0,5519.0,6888.0,6638.0,8183.0,10163.0,11237.0,14075.0,17447.0,19721
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,14.0,13
Profit before tax,1013.0,1454.0,1572.0,1914.0,1950.0,2133.0,2592.0,2902.0,3192.0,4416.0,6090.0,6337.0,6068
Tax %,53.0,64.0,55.0,60.0,56.0,56.0,21.0,22.0,0.0,0.0,0.0,0.0,
Net Profit,481.0,522.0,701.0,758.0,849.0,934.0,2055.0,2255.0,3192.0,4416.0,6090.0,6337.0,6068
EPS in Rs,228.73,221.76,209.04,211.58,187.5,143.08,3.15,2.4,2.69,3.38,4.66,4.85,4.65
