,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,468,523,526,529,595,598,600,603,694,773,775,776,777.0
Reserves,4274,7107,8517,10115,17101,20048,23241,26083,34013,42592,46923,53846,
Borrowings,51044,63576,75264,94752,117996,149026,189928,242189,262793,307528,341005,385449,
Other Liabilities,1811,2100,2719,6390,7205,8976,7856,8944,9558,12080,13273,17733,
Total Liabilities,57596,73307,87026,111787,142897,178648,221626,277819,307058,362973,401975,457804,
Fixed Assets,614,741,991,1120,1218,1307,1313,1688,1742,1734,1754,1857,
CWIP,43,16,25,38,37,28,25,22,78,75,95,135,
Investments,14572,19654,21563,22878,34054,36702,50077,59266,59980,69695,70971,83116,
Other Assets,42367,52896,64447,87751,107587,140611,170211,216843,245257,291469,329155,372695,
Total Assets,57596,73307,87026,111787,142897,178648,221626,277819,307058,362973,401975,457804,
