,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,5359.0,6983.0,8254.0,9692.0,11872.0,14406.0,17281.0,22261.0,28783.0,29000.0,30822.0,36368.0,41456
Interest,3655.0,4750.0,5363.0,6272.0,7355.0,8343.0,9783.0,13415.0,16724.0,15472.0,15822.0,18776.0,22347
Expenses,1449.0,1947.0,2555.0,3133.0,4188.0,5684.0,6555.0,9283.0,12611.0,15997.0,15840.0,15525.0,16743
Financing Profit,255.0,286.0,335.0,288.0,329.0,379.0,942.0,-437.0,-553.0,-2469.0,-839.0,2067.0,2366
Financing Margin %,5.0,4.0,4.0,3.0,3.0,3.0,5.0,-2.0,-2.0,-9.0,-3.0,6.0,6
Other Income,1012.0,1363.0,1891.0,2548.0,3297.0,4171.0,4750.0,5647.0,6951.0,6559.0,7334.0,8166.0,8718
Depreciation,75.0,73.0,98.0,127.0,157.0,191.0,212.0,229.0,278.0,305.0,321.0,373.0,0
Profit before tax,1192.0,1576.0,2128.0,2709.0,3469.0,4360.0,5481.0,4981.0,6121.0,3784.0,6174.0,9860.0,11084
Tax %,33.0,33.0,34.0,34.0,34.0,34.0,34.0,34.0,28.0,25.0,25.0,25.0,
Net Profit,803.0,1061.0,1408.0,1794.0,2286.0,2868.0,3606.0,3301.0,4418.0,2836.0,4611.0,7390.0,8305
EPS in Rs,17.17,20.3,26.8,33.88,38.43,47.95,60.08,54.77,63.7,36.68,59.52,95.24,107.01
