,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,286,286,286,572,1144,1144,1088,2170,2122,2124,2098,2069,2070
Reserves,31046,37708,44244,50164,60600,67838,63835,62778,63328,74227,73252,73338,78698
Borrowings,0,0,0,0,0,0,0,0,4633,5325,5474,8299,8546
Other Liabilities,7025,8281,12436,15553,13354,14166,14426,19118,21717,25835,35905,40890,40985
Total Liabilities,38357,46275,56966,66289,75098,83148,79349,84066,91800,107511,116729,124596,130299
Fixed Assets,5555,7139,8378,11346,13386,14179,12574,15710,23789,25505,25800,29225,28279
CWIP,590,1140,961,776,960,1365,1606,1388,954,922,416,288,497
Investments,372,2116,4331,2270,1892,16423,12163,11261,8792,14205,20324,19478,19323
Other Assets,31840,35880,43296,51897,58860,51181,53006,55707,58265,66879,70189,75605,82200
Total Assets,38357,46275,56966,66289,75098,83148,79349,84066,91800,107511,116729,124596,130299
