,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33734.0,40352.0,50133.0,53319.0,62441.0,68484.0,70522.0,82675.0,90791.0,100472.0,121641.0,146767.0,152686
Expenses,23007.0,28814.0,36743.0,38436.0,45362.0,49880.0,51700.0,62505.0,68524.0,72583.0,90150.0,111637.0,115817
Operating Profit,10727.0,11538.0,13390.0,14883.0,17079.0,18604.0,18822.0,20170.0,22267.0,27889.0,31491.0,35130.0,36869
OPM %,32.0,29.0,27.0,28.0,27.0,27.0,27.0,24.0,25.0,28.0,26.0,24.0,24
Other Income,1904.0,2365.0,2664.0,3430.0,3120.0,3050.0,3311.0,2882.0,2803.0,2201.0,2295.0,2701.0,2633
Interest,4.0,5.0,9.0,12.0,0.0,0.0,0.0,0.0,170.0,195.0,200.0,284.0,390
Depreciation,928.0,1099.0,1317.0,1017.0,1459.0,1703.0,1863.0,2011.0,2893.0,3267.0,3476.0,4225.0,4585
Profit before tax,11699.0,12799.0,14728.0,17284.0,18740.0,19951.0,20270.0,21041.0,22007.0,26628.0,30110.0,33322.0,34527
Tax %,29.0,26.0,28.0,28.0,28.0,28.0,21.0,27.0,24.0,27.0,26.0,28.0,
Net Profit,8332.0,9429.0,10656.0,12372.0,13489.0,14353.0,16029.0,15410.0,16639.0,19423.0,22146.0,24108.0,24880
EPS in Rs,18.14,20.52,23.31,26.93,29.36,31.24,36.69,35.26,38.96,45.42,52.56,58.08,59.76
