,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,31,31,31,31,360,361,384,384,385,385,385,386,386.0
Reserves,348,498,373,386,2363,3418,6693,6560,5478,-314,-6421,-6689,-3378.0
Preference Capital,4,4,4,4,0,0,0,0,0,0,0,0,
Borrowings,1016,1800,3346,3926,3245,2596,2453,2429,22719,29860,36878,44854,49392.0
Other Liabilities,2419,3682,5351,6446,6662,8834,11599,15638,13467,13044,15018,20492,26594.0
Total Liabilities,3814,6011,9102,10789,12630,15210,21129,25012,42048,42974,45860,59043,72993.0
Fixed Assets,886,1764,3956,4876,4747,3794,4579,5662,16778,18815,21282,27650,31957.0
CWIP,0,7,0,0,32,25,32,24,140,72,125,21,0.0
Investments,523,1138,1272,517,986,3713,6344,6517,9499,7290,8033,11514,14838.0
Other Assets,2404,3101,3874,5396,6864,7677,10174,12809,15631,16797,16420,19858,26198.0
Total Assets,3814,6011,9102,10789,12630,15210,21129,25012,42048,42974,45860,59043,72993.0
