,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5565.0,9203.0,11117.0,13925.0,16140.0,18580.0,23021.0,28497.0,35756.0,14641.0,25931.0,54446.0,60720
Expenses,5540.0,8348.0,10684.0,12022.0,12976.0,16362.0,19991.0,28648.0,31687.0,14638.0,25373.0,47926.0,47694
Operating Profit,25.0,855.0,433.0,1904.0,3164.0,2219.0,3030.0,-151.0,4069.0,2.0,558.0,6521.0,13026
OPM %,0.0,9.0,4.0,14.0,20.0,12.0,13.0,-1.0,11.0,0.0,2.0,12.0,21
Other Income,165.0,296.0,391.0,395.0,515.0,789.0,947.0,1325.0,1531.0,1036.0,725.0,1431.0,1950
Interest,59.0,73.0,123.0,150.0,350.0,406.0,413.0,563.0,1902.0,2170.0,2386.0,3168.0,3723
Depreciation,67.0,86.0,226.0,302.0,505.0,457.0,437.0,760.0,3974.0,4699.0,5068.0,5101.0,5644
Profit before tax,64.0,993.0,475.0,1847.0,2824.0,2144.0,3127.0,-149.0,-275.0,-5830.0,-6171.0,-317.0,5609
Tax %,-100.0,21.0,0.0,29.0,30.0,23.0,28.0,205.0,10.0,0.0,0.0,0.0,
Net Profit,128.0,787.0,474.0,1304.0,1986.0,1659.0,2242.0,156.0,-248.0,-5830.0,-6171.0,-317.0,5609
EPS in Rs,4165.47,25646.58,15454.07,42481.11,55.12,45.9,58.33,4.06,-6.45,-151.46,-160.18,-8.21,145.49
