,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1640,1640,1640,1640,1627,1628,1640,1641,1642,1642,1640,1641,1641
Reserves,4060,4564,4931,5878,8077,8741,9470,10181,10004,12865,15775,16988,18236
Borrowings,9995,10377,10106,9294,14862,14349,11883,10555,9840,8371,8943,25051,27783
Other Liabilities,3604,3798,2567,2608,3973,3672,3728,3549,3445,3328,4157,4737,5447
Total Liabilities,19299,20378,19244,19420,28539,28389,26721,25926,24931,26207,30514,48417,53107
Fixed Assets,10974,13925,13635,13191,20298,19491,18877,17825,16713,15637,14831,25029,28126
CWIP,3670,977,615,454,321,531,294,400,391,473,2091,4780,7341
Investments,497,955,888,1619,1012,1579,2415,2451,1854,4052,6623,6033,6701
Other Assets,4157,4521,4107,4157,6908,6789,5135,5251,5974,6045,6970,12576,10939
Total Assets,19299,20378,19244,19420,28539,28389,26721,25926,24931,26207,30514,48417,53107
