,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6057.0,8870.0,8648.0,9347.0,9824.0,8263.0,8049.0,9138.0,8273.0,6922.0,8167.0,10332.0,11105
Expenses,4659.0,6069.0,5394.0,5723.0,5796.0,4939.0,5336.0,6283.0,4746.0,4009.0,4596.0,7050.0,6639
Operating Profit,1398.0,2801.0,3255.0,3624.0,4029.0,3324.0,2713.0,2855.0,3527.0,2913.0,3572.0,3282.0,4467
OPM %,23.0,32.0,38.0,39.0,41.0,40.0,34.0,31.0,43.0,42.0,44.0,32.0,40
Other Income,35.0,9.0,-179.0,196.0,340.0,221.0,47.0,398.0,376.0,248.0,575.0,674.0,476
Interest,717.0,963.0,1206.0,1137.0,1498.0,1685.0,1456.0,1192.0,1051.0,896.0,777.0,844.0,1446
Depreciation,503.0,662.0,810.0,790.0,854.0,969.0,966.0,1164.0,1738.0,1167.0,1131.0,1169.0,1393
Profit before tax,213.0,1186.0,1060.0,1892.0,2017.0,892.0,338.0,897.0,1114.0,1099.0,2238.0,1943.0,2103
Tax %,20.0,23.0,27.0,27.0,28.0,30.0,75.0,24.0,3.0,25.0,22.0,24.0,
Net Profit,171.0,901.0,760.0,1358.0,1460.0,623.0,85.0,684.0,1081.0,823.0,1743.0,1480.0,1616
EPS in Rs,1.04,5.51,4.6,8.23,8.83,3.84,0.48,4.24,6.7,4.84,10.51,8.99,9.67
