,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,284,284,303,303,301,301,302,301,301,302,301,301,305.0
Reserves,16186,16781,20871,21987,18665,22346,27696,34494,36298,45308,66996,65394,73653.0
Preference Capital,279,279,764,764,0,0,208,20,24,26,29,33,
Borrowings,19909,21346,34762,37990,42204,43334,39185,47376,61399,66701,72208,80820,81874.0
Other Liabilities,17543,19102,21704,25374,20737,22024,24787,32626,33822,34852,56980,64024,60106.0
Total Liabilities,53922,57513,77640,85654,81907,88005,91970,114797,131820,147163,196485,210539,215938.0
Fixed Assets,33812,34717,47046,52176,56140,58730,57848,62644,62085,64917,99880,104452,108780.0
CWIP,2832,5898,9400,8265,7271,4363,5950,11889,27191,32566,16905,22166,28379.0
Investments,2090,1750,663,599,1195,1366,1469,1894,1259,7427,4940,4806,7185.0
Other Assets,15189,15148,20531,24613,17302,23546,26703,38370,41285,42253,74760,79115,71594.0
Total Assets,53922,57513,77640,85654,81907,88005,91970,114797,131820,147163,196485,210539,215938.0
