,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,93,93,91,91,91,92,97,97,102,102,101,100,100
Reserves,18018,21159,22519,20951,32345,29959,30283,31983,32035,31713,35524,38606,41401
Borrowings,17091,24618,36368,45501,46797,45850,42962,39559,36824,29910,13502,13046,13467
Other Liabilities,9806,11202,9935,8994,13166,14674,15889,17362,20780,16116,27517,17674,17243
Total Liabilities,45008,57073,68913,75537,92398,90575,89230,89001,89742,77840,76644,69427,72212
Fixed Assets,16586,19429,34989,46643,65038,65932,68450,69039,69381,54349,45488,43542,43725
CWIP,13652,19230,17811,9073,11827,9716,4978,4027,3126,1712,2538,7870,10504
Investments,378,809,342,1785,392,368,146,150,181,1156,470,907,1924
Other Assets,14392,17605,15771,18035,15142,14559,15657,15784,17055,20624,28147,17108,16059
Total Assets,45008,57073,68913,75537,92398,90575,89230,89001,89742,77840,76644,69427,72212
