,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18209.0,19807.0,19286.0,19401.0,19469.0,21603.0,33286.0,46966.0,37923.0,34579.0,51166.0,53212.0,50983
Expenses,11410.0,13701.0,13487.0,13937.0,16032.0,16894.0,26817.0,38553.0,31092.0,23646.0,35650.0,43270.0,41505
Operating Profit,6799.0,6106.0,5799.0,5464.0,3437.0,4709.0,6469.0,8412.0,6831.0,10933.0,15515.0,9942.0,9478
OPM %,37.0,31.0,30.0,28.0,18.0,22.0,19.0,18.0,18.0,32.0,30.0,19.0,19
Other Income,310.0,333.0,349.0,-1399.0,-79.0,-362.0,-584.0,-1470.0,74.0,313.0,-1840.0,-539.0,-412
Interest,533.0,1067.0,1807.0,2875.0,3254.0,3441.0,3866.0,4264.0,3768.0,2753.0,1888.0,1446.0,1376
Depreciation,1386.0,1539.0,1829.0,2733.0,4068.0,3949.0,3883.0,5480.0,3429.0,2414.0,2097.0,2691.0,2672
Profit before tax,5189.0,3833.0,2512.0,-1543.0,-3964.0,-3043.0,-1864.0,-2802.0,-291.0,6078.0,9690.0,5266.0,5019
Tax %,23.0,24.0,25.0,6.0,22.0,17.0,13.0,14.0,-37.0,30.0,30.0,25.0,
Net Profit,4022.0,2952.0,1896.0,-1452.0,-3087.0,-2538.0,-1616.0,-2412.0,-400.0,4267.0,6766.0,3974.0,4066
EPS in Rs,42.41,31.13,20.88,-13.97,-32.42,-24.93,-14.56,-17.0,-1.07,35.62,56.4,31.11,39.75
