,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,370,373,385,386,917,920,953,954,957,991,992,993,994.0
Reserves,12566,14894,18699,21770,32447,37572,49535,56827,65680,83348,95673,110821,
Preference Capital,0,0,0,0,0,0,0,500,500,500,500,500,
Borrowings,65655,85561,85937,104258,179679,205230,249840,291263,325977,326610,365247,418307,
Other Liabilities,13731,15006,17176,22049,27761,32465,37392,46126,50559,67905,84586,90309,
Total Liabilities,92323,115835,122197,148464,240804,276188,337720,395171,443173,478854,546498,620430,
Fixed Assets,615,620,1264,1385,1761,1759,2543,2697,2675,2554,2723,3075,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,
Investments,31658,40907,38791,45589,70274,68462,90977,103487,111197,156946,164529,195338,
Other Assets,60049,74308,82142,101490,168769,205967,244201,288987,329301,319355,379245,422017,
Total Assets,92323,115835,122197,148464,240804,276188,337720,395171,443173,478854,546498,620430,
