,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,8470.0,10838.0,11986.0,13319.0,20402.0,22324.0,25131.0,29831.0,33474.0,32820.0,33741.0,42151.0,49578
Interest,4542.0,6024.0,6312.0,6966.0,11123.0,11458.0,12467.0,15187.0,15901.0,12967.0,11554.0,14411.0,18402
Expenses,5651.0,6603.0,7053.0,9718.0,11541.0,14832.0,16805.0,19758.0,22578.0,29812.0,30699.0,33485.0,40137
Financing Profit,-1723.0,-1789.0,-1379.0,-3366.0,-2263.0,-3965.0,-4141.0,-5114.0,-5005.0,-9958.0,-8512.0,-5746.0,-8960
Financing Margin %,-20.0,-17.0,-12.0,-25.0,-11.0,-18.0,-16.0,-17.0,-15.0,-30.0,-25.0,-14.0,-18
Other Income,4543.0,5112.0,5282.0,8152.0,7631.0,11660.0,13682.0,16148.0,16892.0,23588.0,24941.0,25991.0,31801
Depreciation,164.0,179.0,208.0,237.0,345.0,362.0,383.0,458.0,465.0,461.0,480.0,599.0,153
Profit before tax,2656.0,3144.0,3695.0,4550.0,5024.0,7332.0,9158.0,10576.0,11422.0,13168.0,15948.0,19646.0,22688
Tax %,30.0,30.0,32.0,33.0,32.0,32.0,33.0,33.0,25.0,25.0,25.0,25.0,
Net Profit,1885.0,2238.0,2527.0,3105.0,3524.0,5019.0,6258.0,7204.0,8593.0,9990.0,12089.0,14925.0,17173
EPS in Rs,12.37,14.66,16.0,19.72,18.86,26.84,32.54,37.74,44.92,50.41,60.91,75.13,86.44
