,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,16,16,16,17,17,17,17,17,18,30,30,30
Reserves,1089,1323,1594,2010,2108,3127,3843,4876,5387,7286,14258,16562,18035
Borrowings,269,234,110,218,55,0,0,0,912,798,258,354,1742
Other Liabilities,715,756,945,734,958,1273,1477,1770,2499,2604,6027,6535,5271
Total Liabilities,2089,2328,2666,2978,3137,4417,5337,6664,8815,10706,20572,23481,25078
Fixed Assets,632,699,649,683,638,542,681,930,1920,1906,3473,3679,4688
CWIP,108,142,57,25,20,1,7,12,59,66,503,902,131
Investments,59,49,169,104,43,941,1264,1740,2219,3730,6048,5458,6766
Other Assets,1290,1438,1791,2166,2437,2934,3385,3982,4617,5004,10548,13442,13492
Total Assets,2089,2328,2666,2978,3137,4417,5337,6664,8815,10706,20572,23481,25078
