,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3182.0,3851.0,4920.0,4978.0,5846.0,6501.0,7306.0,9446.0,10879.0,12370.0,26109.0,33183.0,34918
Expenses,2493.0,2981.0,3773.0,3973.0,4819.0,5271.0,6119.0,7562.0,8849.0,9645.0,20860.0,27075.0,28673
Operating Profit,689.0,870.0,1147.0,1005.0,1028.0,1230.0,1187.0,1883.0,2029.0,2725.0,5249.0,6108.0,6245
OPM %,22.0,23.0,23.0,20.0,18.0,19.0,16.0,20.0,19.0,22.0,20.0,18.0,18
Other Income,10.0,22.0,217.0,99.0,187.0,187.0,426.0,302.0,329.0,274.0,766.0,557.0,493
Interest,34.0,21.0,31.0,10.0,6.0,3.0,16.0,11.0,83.0,79.0,123.0,150.0,174
Depreciation,105.0,123.0,130.0,158.0,174.0,178.0,156.0,147.0,273.0,332.0,597.0,723.0,753
Profit before tax,560.0,749.0,1204.0,936.0,1035.0,1236.0,1442.0,2028.0,2003.0,2588.0,5294.0,5792.0,5811
Tax %,25.0,25.0,17.0,18.0,19.0,21.0,23.0,25.0,24.0,25.0,25.0,24.0,
Net Profit,419.0,562.0,996.0,769.0,836.0,971.0,1112.0,1516.0,1520.0,1938.0,3950.0,4410.0,4429
EPS in Rs,130.03,174.14,308.96,238.3,49.25,56.91,64.65,87.37,87.3,110.79,225.27,149.02,149.65
