,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,122,123,185,186,186,187,280,281,281,281,281,281,275.0
Reserves,29264,33737,37526,40723,43994,50030,54623,62094,66442,75588,82127,89045,78137.0
Preference Capital,0,0,0,0,1313,1147,905,976,1404,1124,216,0,
Borrowings,51568,63144,80846,93630,86822,92807,106619,124579,141770,133505,125292,120650,122109.0
Other Liabilities,38228,45924,50324,58727,63088,68547,81717,91083,98194,100721,111328,119745,122602.0
Total Liabilities,119182,142928,168881,193266,194091,211571,243240,278036,306687,310095,319028,329722,323122.0
Fixed Assets,19403,30389,32397,34738,14176,16677,18580,21194,43653,44319,42945,42641,43120.0
CWIP,14913,11351,14179,14993,10974,13298,13443,13919,3311,500,1250,3066,2739.0
Investments,8789,8768,8109,9612,15465,19753,15311,20907,20047,39627,39395,44798,40845.0
Other Assets,76076,92421,114197,133923,153475,161843,195905,222016,239675,225649,235438,239217,236418.0
Total Assets,119182,142928,168881,193266,194091,211571,243240,278036,306687,310095,319028,329722,323122.0
