,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,64255.0,74426.0,85054.0,91929.0,101122.0,109312.0,119683.0,135220.0,145452.0,135979.0,156521.0,183341.0,203631
Expenses,53578.0,63032.0,70968.0,76245.0,85637.0,92691.0,99572.0,112354.0,120899.0,112519.0,132207.0,156349.0,175267
Operating Profit,10676.0,11394.0,14086.0,15684.0,15486.0,16620.0,20111.0,22866.0,24553.0,23460.0,24314.0,26992.0,28364
OPM %,17.0,15.0,17.0,17.0,15.0,15.0,17.0,17.0,17.0,17.0,16.0,15.0,14
Other Income,886.0,2523.0,1337.0,1422.0,1219.0,1466.0,1465.0,2701.0,3015.0,8111.0,2364.0,3065.0,3910
Interest,3008.0,4642.0,6494.0,7266.0,6899.0,6829.0,7714.0,9339.0,11021.0,11750.0,9235.0,9445.0,9289
Depreciation,1580.0,1637.0,1446.0,2623.0,1787.0,2370.0,2223.0,1923.0,2462.0,2904.0,2948.0,3502.0,3419
Profit before tax,6974.0,7638.0,7483.0,7217.0,8020.0,8887.0,11639.0,14305.0,14086.0,16918.0,14495.0,17109.0,19567
Tax %,33.0,31.0,35.0,31.0,30.0,23.0,27.0,28.0,23.0,24.0,29.0,26.0,
Net Profit,4737.0,5291.0,4885.0,4966.0,4592.0,6486.0,8004.0,10217.0,10894.0,12921.0,10419.0,12531.0,14458
EPS in Rs,34.13,37.69,35.41,34.17,30.64,43.17,52.59,63.48,68.02,82.47,61.7,74.5,87.73
