,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,492068,522848,559986,615920,681605,720515.0,781543.0,788658
Expenses,483728,513419,550030,608641,670921,708925.0,747039.0,751546
Operating Profit,8339,9429,9957,7280,10684,11590.0,34504.0,37111
OPM %,2,2,2,1,2,2.0,4.0,5
Other Income,607,801,841,2698,623,789.0,7661.0,1137
Interest,47,46,39,58,0,0.0,0.0,0
Depreciation,326,302,333,375,413,433.0,465.0,0
Profit before tax,8573,9882,10425,9545,10895,11945.0,41700.0,38248
Tax %,74,75,74,72,73,66.0,13.0,
Net Profit,2232,2446,2688,2713,2901,4043.0,36397.0,37231
EPS in Rs,,,,,,6.39,57.55,58.86
