,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,89,90,90,90,90,90,90,90,91,91,91,91,91
Reserves,3924,5115,6842,8784,11073,13407,13487,13652,12446,13712,12062,12374,13148
Borrowings,1639,1164,654,537,7178,7966,7143,8496,6305,5129,4158,4542,3785
Other Liabilities,2283,2475,2550,3642,3957,4749,5300,5423,5968,4498,5340,5794,6420
Total Liabilities,7935,8843,10135,13054,22298,26212,26020,27661,24810,23430,21651,22800,23444
Fixed Assets,2750,3000,3356,4368,8717,11033,10362,11087,7938,7881,7382,8355,9246
CWIP,444,311,304,576,2702,2133,2598,1640,940,1066,1146,1238,676
Investments,3,2,178,1658,16,2136,262,2295,2374,2455,900,517,164
Other Assets,4739,5530,6297,6451,10862,10910,12798,12639,13557,12028,12224,12690,13359
Total Assets,7935,8843,10135,13054,22298,26212,26020,27661,24810,23430,21651,22800,23444
