,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7083.0,9641.0,11286.0,12770.0,14256.0,17367.0,15797.0,14665.0,15375.0,15163.0,16405.0,16642.0,18605
Expenses,5620.0,7356.0,8271.0,9146.0,10564.0,12865.0,12649.0,12104.0,13020.0,12596.0,16187.0,14921.0,15720
Operating Profit,1463.0,2284.0,3015.0,3624.0,3691.0,4502.0,3148.0,2561.0,2355.0,2567.0,219.0,1721.0,2884
OPM %,21.0,24.0,27.0,28.0,26.0,26.0,20.0,17.0,15.0,17.0,1.0,10.0,16
Other Income,-3.0,13.0,105.0,235.0,184.0,106.0,-1310.0,91.0,-134.0,138.0,210.0,151.0,118
Interest,35.0,41.0,27.0,10.0,59.0,153.0,204.0,302.0,363.0,141.0,143.0,274.0,343
Depreciation,228.0,332.0,261.0,435.0,487.0,912.0,1086.0,846.0,970.0,887.0,1659.0,881.0,967
Profit before tax,1196.0,1925.0,2832.0,3415.0,3329.0,3543.0,547.0,1503.0,887.0,1676.0,-1372.0,716.0,1693
Tax %,26.0,30.0,34.0,28.0,32.0,28.0,53.0,59.0,130.0,27.0,-10.0,38.0,
Net Profit,888.0,1340.0,1870.0,2444.0,2270.0,2565.0,258.0,615.0,-270.0,1228.0,-1528.0,430.0,1349
EPS in Rs,19.43,29.36,40.96,53.47,50.17,56.63,5.56,13.4,-5.95,26.81,-33.62,9.45,29.26
