,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,295,295,295,296,270,311,543,544,554,555,556,557,557
Reserves,16409,19666,23012,25561,26222,29467,36232,39439,39415,41027,46567,55809,59929
Borrowings,23121,28711,35167,37911,41553,48762,55898,70848,82092,80625,77605,92247,99712
Other Liabilities,23623,27460,29415,30608,31806,35296,43696,51057,43655,42762,47661,55670,60575
Total Liabilities,63448,76131,87889,94376,99852,113835,136369,161889,165716,164968,172388,204283,220773
Fixed Assets,17198,18307,18381,19047,20585,20989,26182,28983,29689,21380,26018,27140,30544
CWIP,1488,1631,2191,3032,2371,4279,4269,4760,6856,7873,6703,3969,2014
Investments,5347,6440,8082,10027,11603,14662,16018,18268,19210,28778,30060,35272,33964
Other Assets,39414,49752,59234,62270,65293,73905,89900,109878,109960,106938,109607,137902,154250
Total Assets,63448,76131,87889,94376,99852,113835,136369,161889,165716,164968,172388,204283,220773
