,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,59399.0,68693.0,74001.0,71448.0,75841.0,83773.0,92094.0,104721.0,75382.0,74278.0,90171.0,121269.0,131403
Expenses,52140.0,59578.0,63830.0,62655.0,65759.0,73038.0,78868.0,89514.0,65224.0,62791.0,75488.0,100983.0,108514
Operating Profit,7259.0,9116.0,10170.0,8793.0,10082.0,10735.0,13226.0,15207.0,10158.0,11487.0,14683.0,20285.0,22889
OPM %,12.0,13.0,14.0,12.0,13.0,13.0,14.0,15.0,13.0,15.0,16.0,17.0,17
Other Income,526.0,841.0,773.0,800.0,1399.0,2077.0,4366.0,2676.0,885.0,1152.0,3204.0,3961.0,3723
Interest,1800.0,2297.0,2954.0,3157.0,3368.0,3648.0,3987.0,5021.0,6021.0,6102.0,5018.0,5830.0,6783
Depreciation,1802.0,2080.0,2170.0,2124.0,2442.0,2813.0,3280.0,3991.0,3367.0,3378.0,3508.0,4357.0,4571
Profit before tax,4184.0,5580.0,5820.0,4313.0,5672.0,6350.0,10326.0,8871.0,1655.0,3158.0,9362.0,14060.0,15259
Tax %,34.0,35.0,26.0,40.0,37.0,36.0,23.0,32.0,119.0,52.0,23.0,19.0,
Net Profit,3060.0,4129.0,5154.0,3381.0,3554.0,4051.0,7958.0,6017.0,-321.0,1512.0,7253.0,11374.0,12160
EPS in Rs,25.46,33.38,37.89,25.26,25.35,29.77,60.41,42.76,1.02,14.58,52.91,82.68,89.82
