,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,40,40,40,40,40,40,40
Reserves,2957,3025,3611,4694,6500,7744,8631
Borrowings,360,190,3,101,688,5,10
Other Liabilities,652,596,877,1045,1710,1583,1883
Total Liabilities,4009,3851,4531,5880,8939,9371,10564
Fixed Assets,534,778,945,987,2927,3142,3531
CWIP,322,211,148,166,387,495,92
Investments,1402,1698,1784,2397,2526,3102,3885
Other Assets,1751,1164,1655,2330,3100,2632,3056
Total Assets,4009,3851,4531,5880,8939,9371,10564
