,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3918.0,3829.0,4794.0,5523.0,7486.0,8127.0,8562
Expenses,3141.0,3124.0,3550.0,4151.0,5644.0,6429.0,6633
Operating Profit,778.0,705.0,1244.0,1372.0,1842.0,1698.0,1929
OPM %,20.0,18.0,26.0,25.0,25.0,21.0,23
Other Income,209.0,64.0,94.0,154.0,200.0,163.0,190
Interest,18.0,40.0,11.0,8.0,48.0,28.0,16
Depreciation,28.0,38.0,62.0,78.0,123.0,270.0,284
Profit before tax,941.0,691.0,1265.0,1440.0,1871.0,1563.0,1819
Tax %,26.0,26.0,24.0,25.0,26.0,20.0,
Net Profit,694.0,514.0,958.0,1084.0,1389.0,1248.0,1412
EPS in Rs,17.33,12.83,23.92,27.07,34.68,31.16,35.24
