,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,61,64,64,64,129,129,129,129,129,129,129,129,129
Reserves,1082,1917,1296,1760,1888,2197,2414,2846,2894,3111,3219,3670,4087
Borrowings,785,872,680,428,331,239,312,352,338,511,479,608,493
Other Liabilities,689,854,925,873,1010,1059,1217,1569,1603,1675,1850,2393,3455
Total Liabilities,2617,3707,2965,3125,3358,3623,4072,4896,4964,5426,5677,6800,8164
Fixed Assets,857,1670,888,1076,1050,1085,1110,1300,1396,1612,1760,2246,2703
CWIP,40,148,4,3,37,11,27,45,58,24,39,67,64
Investments,296,152,311,284,544,608,543,450,733,854,828,1096,1363
Other Assets,1424,1738,1762,1763,1727,1919,2392,3101,2777,2936,3050,3391,4034
Total Assets,2617,3707,2965,3125,3358,3623,4072,4896,4964,5426,5677,6800,8164
