,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3980.0,4596.0,4687.0,5733.0,6017.0,5918.0,6322.0,7334.0,7315.0,8048.0,9512.0,9764.0,9663
Expenses,3495.0,3970.0,3939.0,4863.0,4966.0,4759.0,5185.0,6009.0,5846.0,6459.0,7831.0,7954.0,7743
Operating Profit,485.0,626.0,748.0,870.0,1051.0,1159.0,1137.0,1325.0,1469.0,1589.0,1681.0,1810.0,1920
OPM %,12.0,14.0,16.0,15.0,17.0,20.0,18.0,18.0,20.0,20.0,18.0,19.0,20
Other Income,30.0,70.0,58.0,59.0,93.0,96.0,85.0,103.0,95.0,107.0,98.0,144.0,192
Interest,42.0,58.0,34.0,23.0,21.0,17.0,16.0,40.0,50.0,34.0,39.0,56.0,68
Depreciation,73.0,87.0,77.0,84.0,95.0,90.0,89.0,131.0,140.0,139.0,139.0,155.0,157
Profit before tax,400.0,552.0,695.0,822.0,1029.0,1149.0,1117.0,1257.0,1374.0,1523.0,1601.0,1743.0,1887
Tax %,20.0,26.0,27.0,29.0,30.0,29.0,26.0,10.0,24.0,21.0,22.0,24.0,
Net Profit,322.0,406.0,504.0,585.0,723.0,811.0,827.0,1131.0,1043.0,1199.0,1255.0,1322.0,1434
EPS in Rs,2.58,3.07,3.76,4.45,5.51,6.19,6.31,8.63,7.91,9.08,9.48,10.07,10.91
