,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,144,151,151,151,151,151,151,151,151,151,151,151,151
Reserves,15530,18877,21345,24167,30465,36924,42408,46941,49262,52350,55182,61640,65642
Borrowings,1421,1569,2004,666,231,484,121,160,184,541,426,1247,392
Other Liabilities,6004,6920,7975,9492,11879,14402,17568,16717,14031,18335,18896,21558,24291
Total Liabilities,23099,27517,31476,34477,42726,51960,60248,63969,63628,71376,74656,84597,90477
Fixed Assets,7746,10022,11034,12490,12530,13311,13389,15437,15744,14989,13747,17830,18838
CWIP,943,1966,2640,1890,1007,1252,2132,1607,1415,1497,2936,2904,2632
Investments,6545,7421,10527,13298,20676,29151,36123,37504,37488,42945,42035,49184,52847
Other Assets,7866,8107,7275,6800,8513,8247,8604,9421,8980,11946,15937,14678,16159
Total Assets,23099,27517,31476,34477,42726,51960,60248,63969,63628,71376,74656,84597,90477
