,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,36090.0,44304.0,44542.0,50801.0,57589.0,68085.0,79809.0,86068.0,75660.0,70372.0,88330.0,117571.0,130528
Expenses,33807.0,39944.0,39232.0,43909.0,48565.0,57664.0,67692.0,75012.0,68305.0,64961.0,82578.0,106542.0,116564
Operating Profit,2283.0,4361.0,5310.0,6892.0,9024.0,10421.0,12118.0,11056.0,7355.0,5411.0,5752.0,11029.0,13964
OPM %,6.0,10.0,12.0,14.0,16.0,15.0,15.0,13.0,10.0,8.0,7.0,9.0,11
Other Income,1086.0,797.0,724.0,817.0,1464.0,2399.0,2155.0,2664.0,3410.0,3046.0,1861.0,2307.0,3616
Interest,62.0,198.0,184.0,218.0,82.0,89.0,346.0,76.0,134.0,102.0,127.0,187.0,210
Depreciation,1162.0,1890.0,2116.0,2515.0,2822.0,2604.0,2760.0,3021.0,3528.0,3034.0,2789.0,2826.0,2993
Profit before tax,2145.0,3070.0,3734.0,4976.0,7585.0,10127.0,11167.0,10624.0,7103.0,5321.0,4697.0,10323.0,14377
Tax %,24.0,20.0,24.0,24.0,28.0,26.0,29.0,28.0,20.0,18.0,17.0,20.0,
Net Profit,1681.0,2470.0,2854.0,3809.0,5497.0,7511.0,7881.0,7651.0,5678.0,4389.0,3880.0,8211.0,11352
EPS in Rs,58.19,81.74,94.44,126.04,181.98,248.61,260.86,253.21,187.9,145.3,128.43,271.82,375.78
