,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12301,12301,11071,11071,11071,10259,10259,10045,10045,10045,10045,10045,10045
Reserves,16343,17494,17175,19687,20572,18756,19782,20753,21336,23008,24876,26854,29020
Borrowings,19562,20340,20819,20584,19938,19227,18602,19066,23226,23365,26096,29540,30110
Other Liabilities,12108,12226,12362,10094,11242,11946,14290,16870,16669,16717,16271,19652,20628
Total Liabilities,60314,62361,61427,61436,62823,60187,62933,66734,71277,73136,77288,86091,89802
Fixed Assets,22183,23537,29587,27916,22610,22227,21201,24977,24402,21993,21825,22137,21816
CWIP,19399,19962,14924,16378,16742,17588,19087,15037,17180,19167,22522,31357,35329
Investments,1656,1447,1273,1020,606,1020,1125,1283,1398,1842,2386,499,553
Other Assets,17076,17415,15643,16123,22866,19352,21520,25437,28297,30133,30554,32098,32104
Total Assets,60314,62361,61427,61436,62823,60187,62933,66734,71277,73136,77288,86091,89802
