,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7177.0,6381.0,7389.0,8221.0,8354.0,8623.0,7755.0,8983.0,10008.0,9648.0,9144.0,10607.0,10300
Expenses,2192.0,2229.0,3047.0,3087.0,3571.0,3739.0,3508.0,4002.0,4562.0,4371.0,5131.0,4401.0,4950
Operating Profit,4985.0,4152.0,4342.0,5134.0,4783.0,4884.0,4248.0,4981.0,5446.0,5277.0,4013.0,6206.0,5350
OPM %,69.0,65.0,59.0,62.0,57.0,57.0,55.0,55.0,54.0,55.0,44.0,59.0,52
Other Income,1086.0,1595.0,889.0,1597.0,1174.0,2245.0,1185.0,1733.0,311.0,1087.0,981.0,743.0,1063
Interest,569.0,611.0,1203.0,1296.0,1160.0,1133.0,924.0,896.0,877.0,577.0,586.0,523.0,445
Depreciation,1151.0,1241.0,1499.0,1715.0,1432.0,1462.0,1469.0,1658.0,1614.0,1292.0,1190.0,1215.0,1198
Profit before tax,4351.0,3895.0,2529.0,3718.0,3365.0,4535.0,3040.0,4159.0,3266.0,4495.0,3217.0,5211.0,4770
Tax %,22.0,26.0,35.0,25.0,30.0,23.0,8.0,32.0,-2.0,20.0,-17.0,19.0,
Net Profit,3404.0,2873.0,1633.0,2798.0,2365.0,3480.0,2785.0,2836.0,3345.0,3600.0,3774.0,4235.0,4284
EPS in Rs,2.51,2.13,1.1,2.25,1.85,2.95,2.45,2.58,2.87,3.26,3.51,3.87,3.88
