,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8245,8245,8245,8245,8245,8245,8245,9895,9895,9697,9697,9697,9697
Reserves,66157,72995,79084,73849,83330,89593,95318,101462,108945,116042,125677,137326,143980
Borrowings,59804,70419,81455,102252,99424,113773,130049,173058,202984,210208,210707,221626,222552
Other Liabilities,21049,27116,31334,35366,33666,36990,48880,62509,55746,62075,69751,76648,77910
Total Liabilities,155255,178776,200118,219712,224665,248601,282492,346923,377569,398022,415831,445297,454139
Fixed Assets,51131,71833,84208,91853,92929,104532,128245,150985,187803,203245,224923,240424,249717
CWIP,50398,46555,53825,67555,75046,86896,83386,118397,98508,97506,91126,89179,83014
Investments,6545,4923,3300,1902,6473,7614,8876,8132,9307,10589,10626,13935,15067
Other Assets,47180,55465,58785,58403,50217,49560,61985,69409,81951,86681,89156,101759,106341
Total Assets,155255,178776,200118,219712,224665,248601,282492,346923,377569,398022,415831,445297,454139
