,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,65231.0,71518.0,78330.0,79957.0,73396.0,82042.0,88083.0,100287.0,109464.0,111531.0,132669.0,176207.0,176913
Expenses,49935.0,53370.0,58603.0,62605.0,54829.0,60445.0,65598.0,77576.0,77863.0,77484.0,92307.0,128612.0,127061
Operating Profit,15296.0,18149.0,19727.0,17352.0,18568.0,21598.0,22485.0,22710.0,31601.0,34047.0,40362.0,47595.0,49852
OPM %,23.0,25.0,25.0,22.0,25.0,26.0,26.0,23.0,29.0,31.0,30.0,27.0,28
Other Income,3088.0,4777.0,2792.0,2338.0,1188.0,1592.0,5576.0,2818.0,8194.0,5017.0,4809.0,2562.0,3849
Interest,2139.0,2491.0,3263.0,3669.0,3366.0,3753.0,4447.0,5605.0,8189.0,9224.0,9376.0,11447.0,11871
Depreciation,3107.0,3823.0,4770.0,5565.0,5771.0,6010.0,7460.0,8669.0,10356.0,12450.0,13788.0,14792.0,15422
Profit before tax,13137.0,16611.0,14486.0,10456.0,10618.0,13426.0,16154.0,11255.0,21250.0,17390.0,22007.0,23917.0,26409
Tax %,25.0,24.0,21.0,4.0,-2.0,20.0,35.0,-25.0,44.0,14.0,23.0,28.0,
Net Profit,9815.0,12586.0,11403.0,9992.0,10781.0,10714.0,10502.0,14034.0,11902.0,14969.0,16960.0,17121.0,19359
EPS in Rs,9.92,12.72,11.53,10.09,10.92,10.83,10.66,13.88,11.72,15.09,17.2,17.44,19.73
