,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01,2023-06-01
Equity Capital,96,96,96,96,96,96,96,96,96,96,96,96,96
Reserves,1178,1702,2272,2741,2721,3186,3324,3577,1822,1923,1850,2363,2760
Borrowings,971,1050,1189,20,18,33,35,35,189,147,266,271,288
Other Liabilities,2157,2315,2756,2963,3251,3495,3907,4379,5065,5733,6021,6249,6307
Total Liabilities,4402,5164,6314,5820,6086,6810,7363,8088,7173,7900,8234,8979,9452
Fixed Assets,1576,3204,3369,3177,2898,2730,2616,2401,2341,2179,2995,3044,3073
CWIP,1372,344,295,245,231,188,94,105,143,639,246,358,520
Investments,134,365,851,812,1325,1756,1979,2658,1751,1464,774,778,806
Other Assets,1320,1251,1799,1586,1633,2136,2673,2924,2937,3618,4219,4799,5054
Total Assets,4402,5164,6314,5820,6086,6810,7363,8088,7173,7900,8234,8979,9452
