,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,328,328,328,328,339,340,340,364,364,364,364,364,364
Reserves,3406,3834,4068,4306,5002,5386,5753,7666,8266,9006,10053,11847,12479
Borrowings,0,0,76,902,473,869,1694,1586,1519,1534,2855,3944,3358
Other Liabilities,1050,1127,1015,1584,1669,1865,2401,1483,1045,1116,2394,2471,2308
Total Liabilities,4785,5289,5487,7120,7484,8459,10188,11098,11193,12019,15666,18626,18508
Fixed Assets,966,952,931,1280,247,945,976,1062,1046,1014,980,949,1600
CWIP,284,385,434,22,49,110,113,126,305,1980,3298,4031,3799
Investments,0,0,50,0,2182,1824,2420,2938,2406,1620,2679,703,729
Other Assets,3534,3952,4073,5818,5007,5581,6679,6972,7435,7406,8709,12943,12381
Total Assets,4785,5289,5487,7120,7484,8459,10188,11098,11193,12019,15666,18626,18508
