,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,825.0,1048.0,798.0,923.0,1416.0,1114.0,1265.0,2582.0,2238.0,2053.0,2694.0,4193.0,4718
Expenses,341.0,435.0,364.0,409.0,740.0,543.0,589.0,1427.0,1189.0,1052.0,1512.0,2081.0,2297
Operating Profit,483.0,613.0,435.0,514.0,676.0,571.0,676.0,1156.0,1048.0,1001.0,1182.0,2112.0,2421
OPM %,59.0,58.0,54.0,56.0,48.0,51.0,53.0,45.0,47.0,49.0,44.0,50.0,51
Other Income,150.0,99.0,57.0,17.0,43.0,50.0,29.0,86.0,54.0,41.0,297.0,321.0,184
Interest,0.0,0.0,0.0,2.0,7.0,6.0,7.0,19.0,88.0,76.0,86.0,169.0,218
Depreciation,27.0,29.0,27.0,40.0,49.0,50.0,49.0,44.0,45.0,41.0,40.0,40.0,43
Profit before tax,606.0,683.0,464.0,489.0,663.0,565.0,650.0,1178.0,969.0,924.0,1354.0,2224.0,2344
Tax %,24.0,26.0,33.0,35.0,35.0,33.0,29.0,31.0,29.0,20.0,23.0,14.0,
Net Profit,463.0,505.0,311.0,317.0,436.0,379.0,459.0,817.0,689.0,739.0,1047.0,1905.0,1961
EPS in Rs,14.1,15.38,9.48,9.66,12.84,11.15,13.51,22.47,18.96,20.33,28.8,52.38,53.94
