,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,240,601,601,601,601,802,757,1084,1084,1084,1084,1084,1084
Reserves,17499,18648,20080,20900,24577,28718,28273,27890,22126,22582,29478,37397,39060
Borrowings,19,1261,10146,9070,9722,14184,12329,15114,12743,19718,16721,18832,22404
Other Liabilities,5407,4567,4571,6549,5344,7600,7353,8430,20981,12151,13846,16866,17974
Total Liabilities,23166,25077,35398,37120,40244,51303,48712,52518,56936,55535,61129,74179,80522
Fixed Assets,1058,1202,6475,7251,2813,3827,5121,5236,8294,6097,6185,6885,18667
CWIP,1132,1889,2816,3755,1812,1894,988,1267,2368,3171,5900,11953,15934
Investments,2632,1888,5223,5573,15052,27461,26657,26451,25718,24010,27099,27924,28934
Other Assets,18344,20098,20884,20541,20566,18121,15946,19563,20555,22258,21944,27417,16988
Total Assets,23166,25077,35398,37120,40244,51303,48712,52518,56936,55535,61129,74179,80522
