,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9863.0,9968.0,9690.0,9978.0,9821.0,9566.0,10698.0,13780.0,18612.0,17616.0,25906.0,36097.0,30858
Expenses,5284.0,5359.0,6044.0,6346.0,6235.0,6446.0,6770.0,8190.0,13297.0,11928.0,15405.0,20829.0,17901
Operating Profit,4579.0,4609.0,3646.0,3633.0,3586.0,3120.0,3928.0,5591.0,5315.0,5689.0,10500.0,15268.0,12957
OPM %,46.0,46.0,38.0,36.0,37.0,33.0,37.0,41.0,29.0,32.0,41.0,42.0,42
Other Income,1417.0,1530.0,1589.0,1258.0,1198.0,793.0,1812.0,1251.0,2147.0,1185.0,1254.0,724.0,-1420
Interest,9.0,3.0,71.0,349.0,389.0,441.0,554.0,624.0,647.0,660.0,940.0,901.0,892
Depreciation,885.0,848.0,822.0,865.0,1070.0,1180.0,1327.0,1541.0,1786.0,1844.0,1824.0,1947.0,1944
Profit before tax,5101.0,5288.0,4342.0,3677.0,3324.0,2292.0,3859.0,4677.0,5030.0,4369.0,8990.0,13144.0,8700
Tax %,32.0,32.0,33.0,32.0,37.0,30.0,29.0,31.0,0.0,5.0,25.0,25.0,
Net Profit,3446.0,3592.0,2990.0,2608.0,2080.0,1597.0,2735.0,3238.0,5005.0,4146.0,6719.0,9854.0,6548
EPS in Rs,28.67,29.88,24.87,21.7,17.3,13.28,24.1,29.86,43.35,32.53,51.84,80.49,54.18
