,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4278,4278,4278,4278,4278,6417,6417,6290,6290,6290,6290,6290,6290
Reserves,132161,148250,167874,176177,193536,187969,197602,210644,198814,214691,253213,274357,303337
Borrowings,15973,20686,49113,53944,45500,80029,106550,107742,129473,133187,121986,142255,143496
Other Liabilities,79771,80211,103711,103448,98459,170111,148664,167667,173787,187580,201771,190212,215958
Total Liabilities,232183,253424,324976,337847,341772,444525,459232,492343,508364,541748,583260,613115,669082
Fixed Assets,38542,49104,64655,88928,46385,81510,82970,86011,103848,104466,111050,119836,308050
CWIP,49698,53385,72034,63393,57668,59042,61512,69056,83832,100309,106719,113945,78464
Investments,2921,2128,4746,4749,33387,70746,67335,66909,56755,60320,66642,78873,81470
Other Assets,141022,148807,183541,180776,204332,233227,247416,270367,263929,276653,298848,300461,201097
Total Assets,232183,253424,324976,337847,341772,444525,459232,492343,508364,541748,583260,613115,669082
