,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,140147.0,161984.0,174121.0,160923.0,124036.0,282506.0,322706.0,421624.0,396728.0,303849.0,491246.0,632291.0,643977
Expenses,94797.0,118482.0,124991.0,118610.0,84901.0,229702.0,265817.0,346805.0,344623.0,254375.0,411373.0,556764.0,544270
Operating Profit,45350.0,43501.0,49130.0,42312.0,39135.0,52804.0,56889.0,74819.0,52105.0,49473.0,79874.0,75527.0,99707
OPM %,32.0,27.0,28.0,26.0,32.0,19.0,18.0,18.0,13.0,16.0,16.0,12.0,15
Other Income,11075.0,5488.0,7170.0,5955.0,1067.0,12724.0,10429.0,9567.0,982.0,11271.0,6797.0,-30.0,4323
Interest,435.0,484.0,624.0,2864.0,3766.0,3591.0,4999.0,5837.0,7489.0,5079.0,5696.0,7889.0,9224
Depreciation,13187.0,11763.0,16262.0,18033.0,16384.0,20219.0,23112.0,23704.0,26635.0,25538.0,26883.0,24557.0,27274
Profit before tax,42804.0,36742.0,39413.0,27370.0,20052.0,41718.0,39208.0,54846.0,18962.0,30126.0,54091.0,43051.0,67532
Tax %,34.0,35.0,32.0,35.0,35.0,30.0,34.0,38.0,40.0,29.0,9.0,24.0,
Net Profit,28428.0,23994.0,26665.0,17703.0,13102.0,29169.0,26068.0,33938.0,11456.0,21360.0,49294.0,32778.0,51303
EPS in Rs,21.93,18.87,20.65,14.29,10.03,19.03,17.23,24.28,8.59,12.96,36.19,28.17,34.23
