,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,40,40,40,80,80,80,80,79,76,76,76,76,77
Reserves,801,978,1182,1326,1578,1819,2047,2266,2309,2719,3292,3889,4342
Borrowings,1,1,3,4,3,3,2,2,71,98,578,655,555
Other Liabilities,180,247,318,365,459,433,514,509,635,771,1473,1999,1870
Total Liabilities,1021,1267,1543,1775,2120,2335,2644,2856,3092,3666,5419,6619,6844
Fixed Assets,320,350,408,408,437,536,512,401,432,457,1534,2341,2266
CWIP,53,117,31,4,27,29,5,32,30,12,107,16,42
Investments,204,329,489,674,638,684,880,764,979,1000,822,640,784
Other Assets,445,471,615,689,1018,1086,1247,1659,1652,2197,2956,3622,3752
Total Assets,1021,1267,1543,1775,2120,2335,2644,2856,3092,3666,5419,6619,6844
