,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1000.0,1295.0,1669.0,1891.0,2312.0,2878.0,3034.0,3366.0,3566.0,4188.0,5711.0,8351.0,9157
Expenses,776.0,982.0,1255.0,1501.0,1921.0,2413.0,2565.0,2810.0,3073.0,3505.0,4753.0,6831.0,7559
Operating Profit,224.0,313.0,415.0,390.0,392.0,465.0,469.0,556.0,493.0,683.0,958.0,1519.0,1597
OPM %,22.0,24.0,25.0,21.0,17.0,16.0,15.0,17.0,14.0,16.0,17.0,18.0,17
Other Income,34.0,29.0,31.0,94.0,77.0,84.0,119.0,88.0,132.0,108.0,144.0,41.0,71
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,47.0,53
Depreciation,61.0,78.0,103.0,94.0,99.0,149.0,158.0,157.0,166.0,176.0,166.0,272.0,289
Profit before tax,197.0,263.0,343.0,390.0,370.0,401.0,429.0,486.0,452.0,609.0,924.0,1241.0,1326
Tax %,28.0,29.0,27.0,25.0,25.0,25.0,25.0,28.0,25.0,26.0,25.0,26.0,
Net Profit,142.0,188.0,249.0,291.0,277.0,301.0,323.0,352.0,340.0,451.0,690.0,921.0,982
EPS in Rs,17.72,23.45,31.16,36.33,34.66,37.68,40.39,43.96,44.53,58.97,90.34,120.52,128.01
