,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,51,51,51,51,51,51,51,51,51,51,51,51,51
Reserves,1270,1600,1901,2219,2587,3420,3523,4097,4405,5542,6353,7161,7477
Borrowings,321,111,46,58,80,98,125,113,288,331,416,391,416
Other Liabilities,722,853,930,986,996,1202,1500,1643,1779,2890,2675,2902,3275
Total Liabilities,2364,2616,2928,3315,3714,4770,5199,5904,6523,8814,9494,10505,11219
Fixed Assets,618,646,729,978,1137,1275,1342,1448,1807,4418,4703,4914,5224
CWIP,394,428,458,462,158,148,228,242,259,294,225,406,271
Investments,98,294,260,370,706,1443,1246,1548,1186,516,459,881,1355
Other Assets,1255,1248,1481,1505,1713,1904,2383,2666,3270,3586,4107,4304,4369
Total Assets,2364,2616,2928,3315,3714,4770,5199,5904,6523,8814,9494,10505,11219
