,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3127.0,3678.0,4283.0,4844.0,5361.0,5617.0,6078.0,7078.0,7294.0,7293.0,9921.0,11799.0,12038
Expenses,2641.0,3120.0,3611.0,4073.0,4188.0,4355.0,4737.0,5707.0,5718.0,5606.0,8065.0,9813.0,9700
Operating Profit,485.0,558.0,672.0,771.0,1173.0,1262.0,1341.0,1371.0,1576.0,1686.0,1856.0,1986.0,2338
OPM %,16.0,15.0,16.0,16.0,22.0,22.0,22.0,19.0,22.0,23.0,19.0,17.0,19
Other Income,42.0,107.0,38.0,40.0,81.0,115.0,153.0,130.0,97.0,74.0,39.0,55.0,85
Interest,31.0,16.0,16.0,16.0,13.0,14.0,16.0,26.0,34.0,37.0,42.0,48.0,52
Depreciation,64.0,69.0,81.0,118.0,100.0,115.0,120.0,133.0,170.0,201.0,240.0,270.0,293
Profit before tax,433.0,581.0,612.0,678.0,1141.0,1248.0,1359.0,1342.0,1470.0,1522.0,1614.0,1723.0,2077
Tax %,25.0,27.0,27.0,25.0,29.0,31.0,29.0,31.0,24.0,26.0,25.0,25.0,
Net Profit,325.0,424.0,450.0,514.0,807.0,863.0,966.0,928.0,1122.0,1126.0,1207.0,1289.0,1526
EPS in Rs,6.39,8.27,8.77,10.0,15.66,16.77,18.95,18.21,21.97,22.26,23.76,25.05,29.61
