,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,71,141,141,141,141,141,149,149,149,150,150
Reserves,1412,1489,1642,1853,2206,2706,3688,4605,5394,6481,7045
Borrowings,458,546,796,856,800,272,157,282,118,191,213
Other Liabilities,823,1138,1296,1729,1300,2509,1967,1978,1750,2602,2492
Total Liabilities,2763,3314,3875,4579,4448,5628,5961,7015,7412,9424,9900
Fixed Assets,750,822,985,1128,1197,1276,1422,1870,1675,2067,2106
CWIP,116,179,138,165,136,193,241,99,375,251,367
Investments,0,0,0,33,32,29,65,635,773,1350,1279
Other Assets,1897,2312,2752,3253,3083,4130,4232,4411,4588,5756,6148
Total Assets,2763,3314,3875,4579,4448,5628,5961,7015,7412,9424,9900
