,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4630,4630,5232,5232,5232,5232,5232,5232,5232,5232,6975,6975,9301
Reserves,18953,21773,29466,33207,38738,44634,49194,53857,59464,64704,69272,76039,77585
Borrowings,54355,69233,84220,96243,108545,118988,131503,146376,148270,143232,134696,126661,119892
Other Liabilities,14194,17748,22562,26102,26797,26809,39425,41916,43706,42539,40008,40627,38725
Total Liabilities,92133,113384,141480,160784,179312,195662,225354,247380,256671,255708,250950,250303,245502
Fixed Assets,48415,62568,74252,91191,115094,137678,156198,172740,181112,183726,191773,185437,181878
CWIP,28886,35265,50069,53681,45611,38264,37669,37631,35177,24838,12854,13772,13922
Investments,774,586,423,220,919,1165,1224,1296,1431,1486,3788,3489,3454
Other Assets,14058,14964,16736,15693,17688,18555,30264,35713,38951,45659,42536,47604,46248
Total Assets,92133,113384,141480,160784,179312,195662,225354,247380,256671,255708,250950,250303,245502
