,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10323.0,13081.0,15555.0,17540.0,20652.0,25697.0,29954.0,35059.0,37744.0,39640.0,41622.0,45581.0,45841
Expenses,1898.0,2244.0,2588.0,2613.0,2468.0,3247.0,3993.0,8140.0,4858.0,4734.0,5796.0,7001.0,6075
Operating Profit,8425.0,10837.0,12967.0,14927.0,18184.0,22450.0,25961.0,26920.0,32886.0,34906.0,35826.0,38580.0,39766
OPM %,82.0,83.0,83.0,85.0,88.0,87.0,87.0,77.0,87.0,88.0,86.0,85.0,87
Other Income,888.0,966.0,725.0,731.0,656.0,933.0,4065.0,1505.0,2820.0,769.0,4692.0,2089.0,1267
Interest,1986.0,2599.0,3254.0,4081.0,5086.0,6204.0,7324.0,8737.0,9509.0,8135.0,8036.0,9634.0,9885
Depreciation,2637.0,3428.0,4079.0,5173.0,6182.0,7722.0,9231.0,10541.0,11607.0,12039.0,12872.0,13333.0,13264
Profit before tax,4690.0,5776.0,6359.0,6404.0,7572.0,9457.0,13471.0,9147.0,14590.0,15501.0,19610.0,17702.0,17884
Tax %,30.0,25.0,28.0,21.0,21.0,21.0,39.0,-10.0,24.0,22.0,14.0,13.0,
Net Profit,3303.0,4313.0,4548.0,5046.0,5959.0,7451.0,8204.0,10034.0,11059.0,12036.0,16824.0,15417.0,15347
EPS in Rs,4.01,5.24,4.89,5.43,6.41,8.01,8.82,10.79,11.89,12.94,18.09,16.58,16.51
