,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,339,353,362,371,393,426,552,921,1348,2096,2202,2202,2202.0
Reserves,28865,34116,37731,41669,41412,42990,40965,45164,62529,90439,95380,100678,
Borrowings,427054,446090,520237,574450,652056,672987,713769,728702,772767,1166015,1213606,1360496,
Other Liabilities,14188,16089,16490,19522,18932,16909,22242,15333,14814,21176,28113,30273,
Total Liabilities,470445,496648,574820,636011,712793,733311,777528,790120,851457,1279725,1339301,1493649,
Fixed Assets,3217,3422,3490,3656,5308,6298,6371,6246,7262,11049,10696,12084,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,
Investments,125820,134734,149225,156762,165126,191527,204419,210578,253782,404369,388586,416914,
Other Assets,341408,358491,422105,475594,542358,535486,566738,573295,590413,864307,940019,1064651,
Total Assets,470445,496648,574820,636011,712793,733311,777528,790120,851457,1279725,1339301,1493649,
